연번,정류소(ID),정류소,법정동,도로명주소,지번주소,쉴터유형,쉴터유형 설치년도,설치업체,정류소안내기,정류소안내 설치년도,통신사유형,통신유형,온열체어,온열체어 설치년도,에어커튼,에어커튼 설치년도,조명등,조명등 설치년도,공공와이파이,공공와이파이 설치년도,비상벨,비상벨 설치년도
1,570243, 3사관서문건너,고경면, , 경상북도 영천시 고경면 창하리 640-2,설치안함,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
2,570223, 3사관서문앞,고경면, , 경상북도 영천시 고경면 창하리 630,설치안함,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
3,570135, 3사관학교(서문)건너,고경면,경상북도 영천시 호국로 442, 경상북도 영천시 고경면 창하리 696-1,쉘터,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
4,570176, 3사관학교(서문)앞,고경면,경상북도 영천시 호국로 437, 경상북도 영천시 고경면 창하리 695-10,쉘터,,,0,,설정안함,,설치,2022,설치안함,,설치,,설치안함,,설치안함,
5,570136, 3사관학교(정문)건너,고경면,경상북도 영천시 호국로 494, 경상북도 영천시 고경면 창하리 361-1,무개폴,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
6,570175, 3사관학교(정문)앞,고경면,경상북도 영천시 호국로 485, 경상북도 영천시 고경면 창하리 1144-5,쉘터,,,1,2019,KT,,설치,2022,설치안함,,설치,,설치안함,,설치안함,
7,570107, 808종점,금호읍,경상북도 영천시 금호로 201,,쉘터,,,0,,설정안함,,설치,2022,설치안함,,설치안함,,설치안함,,설치안함,
8,570120, KC피드,금호읍,경상북도 영천시 금호로 310, 경상북도 영천시 금호읍 신월리 253-3,무개폴,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
9,570986, LPG충전소,화산면,경상북도 영천시 장수로 770, 경상북도 영천시 화산면 당곡리 41-6,무개폴,,,0,,설정안함,,설치안함,,설치안함,,설치,,설치안함,,설치안함,
10,571130, LPG충전소건너,화산면,경상북도 영천시 장수로 769, 경상북도 영천시 화산면 당곡리 1-2,쉘터,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
11,571711, e편한세상,완산동,, 경상북도 영천시 완산동 729-61,무개폴,,,1,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
12,571712, e편한세상,완산동,경상북도 영천시 완산2길 51, 경상북도 영천시 완산동 961-4,무개폴,,,1,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
13,571535, ㈜BM,금호읍,경상북도 영천시 영천산단로 108-29, 경상북도 영천시 금호읍 구암리 1346,무개폴,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
14,570652, 가람영농조합,대창면,경상북도 영천시 금창로 803, 경상북도 영천시 대창면 조곡리 355-2,쉘터,,,0,,설정안함,,설치안함,,설치안함,,설치,,설치안함,,설치안함,
15,570610, 가람영농조합건너,대창면,경상북도 영천시 금창로 804, 경상북도 영천시 대창면 조곡리 1203,무개폴,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
16,570931, 가래실,화산면,경상북도 영천시 가래실로 375, 경상북도 영천시 화산면 가상리 641,쉘터,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
17,570961, 가상리(당지방면),화산면,경상북도 영천시 화산면 가래실로 480, 경상북도 영천시 화산면 가상리 1154,설치안함,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
18,570929, 가상리(영천방면),화산면,경상북도 영천시 가래실로 481, 경상북도 영천시 화산면 가상리 918,무개폴,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
19,570960, 가상리창고,화산면, , 경상북도 영천시 화산면 가상리 729-3,무개폴,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
20,570930, 가상리창고건너,화산면, , 경상북도 영천시 화산면 가상리 725-1,설치안함,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
21,570159, 가수1리,고경면,경상북도 영천시 가수길 7, 경상북도 영천시 고경면 가수리 403-3,쉘터,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
22,570158, 가수2리,고경면,경상북도 영천시 가수길 39, 경상북도 영천시 고경면 가수리 475,쉘터,,,0,,설정안함,,설치안함,,설치안함,,설치,,설치안함,,설치안함,
23,570151, 가수리,고경면,경상북도 영천시 호국로 1364, 경상북도 영천시 고경면 가수리 232-3,무개폴,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
24,570944, 가축위생시험소,녹전동,경상북도 영천시 명산길 41, 경상북도 영천시 녹전동 1152-1,무개폴,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
25,570945, 가축위생시험소건너,녹전동,경상북도 영천시 명산길 42, 경상북도 영천시 녹전동 1152-1,무개폴,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
26,570529, 간촌,임고면,경상북도 영천시 신선로 642-1, 경상북도 영천시 임고면 선원리 579-4,쉘터,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
27,571744, 간촌,임고면, , 경상북도 영천시 임고면 선원리 579-4,설치안함,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
28,570067, 갑을공단(화신건너),언하동,경상북도 영천시 언하공단로 33,,쉘터,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
29,570020, 갑을공단(화신앞),언하동, , 경상북도 영천시 언하동 412,쉘터,,,0,,설정안함,,설치,,설치,2022,설치,,설치안함,,설치안함,
30,570722, 강회(금호방면),금호읍, , 경상북도 영천시 금호읍 오계리 881-4,설치안함,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
31,570603, 강회(대창방면),금호읍,경상북도 영천시 금창로 442, 경상북도 영천시 금호읍 오계리 882-5,무개폴,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
32,570214, 거곡로.대성양달(영천방면),고경면,경상북도 영천시 거곡로 361, 경상북도 영천시 고경면 대성리 628,무개폴,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
33,570189, 거곡로.대성양달(오류방면),고경면,경상북도 영천시 거곡로 362, 경상북도 영천시 고경면 대성리 628,쉘터,,,0,,설정안함,,설치안함,,설치안함,,설치,,설치안함,,설치안함,
34,570953, 경북차량용임베디드기술연구원,녹전동, , 경상북도 영천시 녹전동 1420,설치안함,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
35,570942, 경북차량용임베디드기술연구원건너,녹전동,경상북도 영천시 대기길 176,,무개폴,,,0,,설정안함,,설치안함,,설치안함,,설치안함,,설치안함,,설치안함,
