사업장명,인허가일자,상세영업상태명,소재지전화,도로명주소,지번주소,위도,경도,업태구분명,의료기관종별명,의료인수,입원실수,병상수,총면적,진료과목내용명,데이터기준일자
(사)대한산업보건협회전북산업보건센타 전북의원,1989-06-03,영업중,063-225-1242,전라북도 전주시 덕진구 기린대로 1030 (여의동),전라북도 전주시 덕진구 여의동 654-1,35.86839875,127.0738885,의원,의원,32,0,0,1468,내과+외과+흉부외과+영상의학과+직업환경의학과,2022-06-30
(사)인구보건복지협회전북지회가족보건의원,1974-01-16,영업중,063-240-2345,전라북도 전주시 덕진구 백제대로 720 (인후동2가),전라북도 전주시 덕진구 인후동2가 1557-1,35.8448508,127.1477319,의원,의원,10,4,17,1493.56,내과+산부인과+소아청소년과+영상의학과+진단검사의학과+가정의학과,2022-06-30
(사)인구보건복지협회전북지회가족치과의원,2007-11-23,영업중,063-240-2331,전라북도 전주시 덕진구 백제대로 720 (인후동2가),전라북도 전주시 덕진구 인후동2가 1557-1,35.8448508,127.1477319,치과의원,치과의원,13,0,0,120,치과+예방치과,2022-06-30
(사)한국건강관리협회 건강치과의원,2013-05-02,영업중,063-259-8896,"전라북도 전주시 덕진구 사평로 40, 5층 (덕진동1가, 건강검진센터)",전라북도 전주시 덕진구 덕진동1가 1408-3,35.84115878,127.1216206,치과의원,치과의원,2,0,0,146,치과,2022-06-30
(사)한국건강관리협회건강증진의원,1982-12-10,영업중,063-259-8900,전라북도 전주시 덕진구 사평로 40 (덕진동1가),전라북도 전주시 덕진구 덕진동1가 1408-3,35.84115878,127.1216206,의원,의원,44,2,18,4907.79,내과+외과+산부인과+영상의학과+진단검사의학과,2022-06-30
21세기한의원,1995-10-17,영업중,063-273-1075,전라북도 전주시 완산구 팔달로 255 (서노송동),전라북도 전주시 완산구 서노송동 639-36,35.82481331,127.1441029,한의원,한의원,1,0,0,95.38,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
365평화한의원,2020-10-05,영업중,063-717-8875,"전라북도 전주시 완산구 모악로 4689, 2층 201,202일부호 (평화동2가)",전라북도 전주시 완산구 평화동2가 312-5,35.78812272,127.130229,한의원,한의원,5,5,9,368.96,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
PSI한솔비뇨기과의원,2016-01-20,영업중,063-227-7575,"전라북도 전주시 완산구 백제대로 250, 3,4층 (중화산동2가)",전라북도 전주시 완산구 중화산동2가 649-8,35.81536127,127.1234387,의원,의원,4,4,6,667.78,비뇨의학과,2022-06-30
가온의료소비자생활협동조합 세나여성의원,2002-11-30,영업중,063-229-8245,전라북도 전주시 완산구 소대배기로 14 (평화동2가),전라북도 전주시 완산구 평화동2가 890-3,35.78713241,127.1316346,의원,의원,4,26,29,2125.92,마취통증의학과+산부인과,2022-06-30
가족사랑의원,2004-03-02,영업중,063-274-0904,전라북도 전주시 완산구 범안3길 11-4 (효자동2가),전라북도 전주시 완산구 효자동2가 1166-4,35.81212193,127.106806,의원,의원,1,0,0,62.73,내과+소아청소년과+병리과+가정의학과,2022-06-30
가지런이치과교정과치과의원,2008-04-21,영업중,063-277-2879,전라북도 전주시 완산구 홍산로 253 (효자동2가),전라북도 전주시 완산구 효자동2가 1239-4,35.81638246,127.1054861,치과의원,치과의원,1,0,0,169.52,치과교정과,2022-06-30
감로국한의원,1986-04-18,영업중,063-246-7780,"전라북도 전주시 덕진구 무삼지로 80, 2층 (인후동1가)",전라북도 전주시 덕진구 인후동1가 851-6,35.83263222,127.1631761,한의원,한의원,1,0,0,151.5,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
갑자한의원,1997-03-04,영업중,063-223-7582,전라북도 전주시 완산구 용머리로 114 (효자동1가),전라북도 전주시 완산구 효자동1가 548-3,35.80573252,127.1225904,한의원,한의원,1,0,0,94.43,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
갑진한의원,1988-09-10,영업중,063-288-1717,전라북도 전주시 완산구 팔달로 144 (전동),전라북도 전주시 완산구 전동 51,35.81520652,127.1483215,한의원,한의원,1,0,0,180.62,한방내과+한방소아과+한방안·이비인후·피부과+침구과,2022-06-30
