행정동 구분,일반수급자 가구수,일반수급자 수급권자수,조건부수급자 가구수,조건부수급자 수급권자수,특례수급자 가구수,특례수급자 수급권자수,시설수급자 가구수,시설수급자 수급권자수,기준연도
전주시,9,10,0,0,0,0,740,740,2022
전주시 완산구,0,0,0,0,0,0,1,1,2022
전주시 완산구 중앙동,362,457,45,71,3,5,1,1,2022
전주시 완산구 풍남동,266,318,23,39,7,9,1,1,2022
전주시 완산구 노송동,597,763,60,126,5,7,0,0,2022
전주시 완산구 완산동,416,525,54,100,2,2,0,0,2022
전주시 완산구 동서학동,361,509,29,56,7,10,28,28,2022
전주시 완산구 서서학동,649,906,83,166,14,17,2,2,2022
전주시 완산구 중화산1동,361,534,46,89,8,10,3,3,2022
전주시 완산구 중화산2동,578,805,124,223,4,5,10,10,2022
전주시 완산구 서신동,836,1392,141,281,5,5,0,0,2022
전주시 완산구 평화1동,2006,2488,229,362,26,34,9,9,2022
전주시 완산구 평화2동,1816,2535,185,368,34,39,9,9,2022
전주시 완산구 삼천1동,374,539,84,182,9,12,0,0,2022
전주시 완산구 삼천2동,748,1215,160,327,12,14,0,0,2022
전주시 완산구 삼천3동,482,730,48,92,7,9,27,27,2022
전주시 완산구 효자1동,427,626,71,128,12,13,0,0,2022
전주시 완산구 효자2동,421,703,87,199,6,9,2,2,2022
전주시 완산구 효자3동,238,399,36,84,4,5,0,0,2022
전주시 완산구 효자4동,1127,1787,218,403,32,44,16,16,2022
전주시 완산구 효자5동,660,1184,194,398,7,10,8,8,2022
전주시 덕진구 진북동,557,770,102,171,8,12,1,1,2022
전주시 덕진구 인후1동,484,712,76,157,8,11,0,0,2022
전주시 덕진구 인후2동,659,962,137,276,9,9,0,0,2022
전주시 덕진구 인후3동,1214,1976,290,563,13,15,1,1,2022
전주시 덕진구 덕진동,567,880,146,246,11,12,2,2,2022
전주시 덕진구 금암1동,327,389,82,114,4,4,0,0,2022
전주시 덕진구 금암2동,442,604,99,186,11,11,0,0,2022
전주시 덕진구 팔복동,613,801,132,252,8,8,4,4,2022
전주시 덕진구 우아1동,494,744,132,265,5,5,2,2,2022
전주시 덕진구 우아2동,701,966,194,336,10,11,6,6,2022
전주시 덕진구 호성동,332,511,77,168,7,8,1,1,2022
전주시 덕진구 송천1동,560,932,107,218,4,4,3,3,2022
전주시 덕진구 송천2동,569,885,100,198,9,11,2,2,2022
전주시 덕진구 조촌동,864,1107,98,166,11,15,0,0,2022
전주시 덕진구 동산동,1,1,0,0,0,0,0,0,2022
전주시 덕진구 여의동,572,924,107,245,8,14,2,2,2022
전주시 덕진구 혁신동,47,77,6,17,0,0,0,0,2022
