정류장ID,정류장명,정류장번호,위도,경도
JUB312100690,BYC,30690,35.82043092,127.0077811
JUB312100693,BYC,30693,35.82071324,127.00797
JUB306101433,cbs기독교방송,31432,35.87469125,127.0551973
JUB305100683,CTS전북방송,30683,35.8199967,127.1464071
JUB305032322,JTV전주방송,36214,35.8459724,127.0829642
JUB305032323,JTV전주방송,36215,35.8460525,127.0826759
JUB306101050,KT북전주지점.덕진광장,31049,35.84292878,127.1231824
JUB306101053,KT북전주지점.덕진광장,31052,35.84310173,127.1230835
JUB305100912,KT정보센터,30912,35.83375079,127.1185573
JUB312032801,LS엠트론엔진공장,36270,35.9698397,127.1181823
JUB312900002,LS엠트론엔진공장,36274,35.9698093,127.1179573
JUB305032418,TBN전주교통방송,36352,35.847896,127.0810328
JUB305032419,TBN전주교통방송,36353,35.8480058,127.0814974
JUB305032313,test0722,36002,35.9441492,127.2396643
JUB306032302,test0722-2,36004,35.9424645,127.2444817
JUB306900001,test0817,30600,35.9424961,127.2415512
JUB316100004,가는정이,30004,35.59382187,127.1039579
JUB316100005,가는정이,30005,35.59397733,127.1038737
JUB306101078,가련산로.원대한방병원,31077,35.84538482,127.1155486
JUB306101083,가련산로.원대한방병원,31082,35.84571856,127.1154564
JUB306101022,가련산로하가영무예다음,31021,35.84168582,127.1112994
JUB306101042,가련산로하가영무예다음,31041,35.84202607,127.1113025
JUB306100936,가리내로 백제교,30936,35.83489768,127.1246252
JUB306100946,가리내로 백제교,30946,35.83487104,127.1259193
JUB306132083,가리내로하가영무예다음,32083,35.83971631,127.1106682
JUB306132084,가리내로하가영무예다음,32084,35.83988337,127.1101019
JUB306101158,가소마을,31157,35.85284536,127.1905368
JUB306101159,가소마을,31158,35.85298416,127.1904619
JUB312032419,가정.봉판마을,32419,36.03883636,127.190373
JUB312032420,가정.봉판마을,32420,36.03872776,127.1903075
JUB312101586,간중초교,31585,35.89163192,127.1814109
JUB312101588,간중초교,31587,35.89181831,127.1816028
JUB312101071,갈동마을,31070,35.84478138,127.0455471
JUB312101074,갈동마을,31073,35.84491779,127.0456206
JUB312101704,갈리마을,31703,35.91581423,127.1478348
JUB312101706,갈리마을,31705,35.91594135,127.1477883
JUB312032166,갈전,32166,35.84511266,127.2154023
JUB312032167,갈전,32167,35.8450756,127.2152477
JUB306101354,감수리,31353,35.86663278,127.0999173
JUB306101355,감수리,31354,35.86702965,127.0999571
JUB305032452,감수리주유소,36386,35.8654224,127.1006158
JUB305032453,감수리주유소,36387,35.865332,127.1005553
JUB305032583,강림교회,36517,35.8400743,127.1414516
JUB305032584,강림교회,36518,35.8401063,127.1415899
JUB312100715,개태마을,30715,35.8218052,127.0312898
JUB312100744,개태마을,30744,35.8226376,127.0333483
JUB312032389,갱금.오복마을,32389,36.02095623,127.2474773
JUB312032390,갱금.오복마을,32390,36.02109946,127.2473206
JUB305100504,거마평로안행교,30504,35.80577968,127.1166171
JUB305100576,거마평로이동교,30576,35.81288005,127.1138879
JUB305100580,거마평로이동교,30580,35.81342648,127.1129979
JUB312032411,거사리마을,32411,36.04671223,127.2284477
JUB312032412,거사리마을,32412,36.04690993,127.228357
JUB305102022,거산황궁아파트,32022,35.80588599,127.1525165
JUB306100907,거성고속맨션.자원봉사센터.고속버스터미널입구,30907,35.83348524,127.1276
JUB306100909,거성고속맨션.자원봉사센터.고속버스터미널입구,30909,35.8335539,127.1272236
JUB312101822,거인마을,31821,35.9377749,127.2961361
JUB312101823,거인마을,31822,35.9378205,127.2964465
JUB306032082,건지광장,32082,35.8467267,127.1287653
JUB305032375,건지산이지움,36309,35.8453963,127.1477652
JUB306100973,경기장거성아파트,30973,35.83689022,127.1210889
JUB306100976,경기장거성아파트,30975,35.83700157,127.1214359
JUB305100766,경찰청,30766,35.82516699,127.1048125
JUB305100776,경찰청,30776,35.82542716,127.1048341
JUB312032391,경천면사무소,32391,36.02199559,127.2522603
JUB312032392,경천면사무소,32392,36.02222783,127.2519253
JUB312032387,경천저수지,32387,36.01965652,127.2386141
JUB312032388,경천저수지,32388,36.01978241,127.2385685
JUB312100510,계월리,30510,35.8058649,127.2449486
JUB312100513,계월리,30513,35.80601225,127.2454276
JUB306101446,고당마을,31445,35.87540405,127.1511287
JUB305032638,고덕마을,36572,35.7889245,127.178698
JUB305032639,고덕마을,36573,35.7888747,127.1786263
JUB306101012,고려병원,31011,35.83923015,127.1674858
JUB306101015,고려병원,31014,35.83951413,127.1674522
JUB308101746,고려온천아파트,31745,35.9241455,127.0537551
JUB305032507,고려온천아파트,36441,35.9240826,127.0537998
JUB308101747,고려온천아파트입구,31746,35.9237561,127.0532862
JUB312101943,고산고입구,31942,35.97591272,127.2010528
JUB312101944,고산고입구,31943,35.97611364,127.2011409
JUB312132241,고산농협,32241,35.97549192,127.2049475
JUB305032386,고산농협,36320,35.9753476,127.2044494
JUB312032417,고산사거리,32417,35.9770131,127.2072826
JUB312032418,고산사거리,32418,35.97728377,127.2073242
JUB305032467,고산사입구,36401,35.9350544,127.2059475
JUB305032468,고산사입구,36402,35.9350547,127.2060639
JUB312032670,고산새마을금고,36001,35.9745874,127.2084186
JUB312032673,고산새마을금고,36007,35.9747589,127.2085178
JUB312032671,고산성당,36005,35.9750802,127.2108903
JUB312032674,고산성당,36008,35.9751883,127.2108344
JUB312032686,고산시장,36020,35.9746064,127.2051465
JUB312032687,고산시장,36021,35.9745879,127.204958
JUB312101902,고산신기마을,31901,35.96087152,127.1807755
JUB312101903,고산신기마을,31902,35.96095614,127.1805908
JUB312032764,고산자연휴양림입구,36098,35.9749999,127.2310212
JUB312032765,고산자연휴양림입구,36099,35.9752431,127.2309205
JUB312032322,고산창포마을,32322,35.98802108,127.260067
JUB312101937,고산터미널,31936,35.9748106,127.2069505
JUB312101938,고산터미널,31937,35.97519123,127.2058153
JUB306100918,고속버스터미널.불교회관,30918,35.83390745,127.1305492
JUB306100925,고속버스터미널.불교회관,30925,35.8343029,127.1300944
JUB306100952,고속버스터미널후문,30952,35.8356764,127.1290611
JUB306100954,고속버스터미널후문,30954,35.83569905,127.129588
JUB306100937,고용노동부전주지청,30937,35.83496455,127.164976
JUB306100945,고용노동부전주지청,30945,35.8351482,127.1649914
JUB306101594,고잔,31593,35.89222628,127.0244804
JUB306101598,고잔,31597,35.89259892,127.0245811
JUB312101687,고천마을,31686,35.91286372,127.1398601
JUB312101690,고천마을,31689,35.91300145,127.1397781
JUB305032567,곡천마을,36501,35.8863494,127.0330693
JUB305032568,곡천마을,36502,35.8865471,127.032913
JUB306101180,공단주유소,31179,35.8540248,127.0890026
JUB306101191,공단주유소,31190,35.8538749,127.0884193
JUB305100497,공수내다리,30497,35.80524638,127.1495302
JUB305100511,공수내다리,30511,35.80600343,127.1495221
JUB312032204,공술마을,32204,35.88115799,126.9793666
JUB312032205,공술마을,32205,35.88103051,126.9792131
JUB312101772,과학로.구.청완초교,31771,35.9289018,127.1253209
