사업장명,인허가일자,상세영업상태명,소재지전화,도로명주소,지번주소,위도,경도,업태구분명,의료기관종별명,의료인수,입원실수,병상수,총면적,진료과목내용명,데이터기준일자
가람한방병원,2014-04-30,영업중,063-270-8600,"전북특별자치도 전주시 덕진구 송천중앙로 60, 3~6층 (송천동1가)",전북특별자치도 전주시 덕진구 송천동1가 270-1,35.85243751,127.1202239,한방병원,한방병원,4,31,83,1530.26,가정의학과+한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2024-01-18
나은요양병원,2012-06-26,영업중,063-715-2300,전북특별자치도 전주시 덕진구 기린대로 951 (여의동),전북특별자치도 전주시 덕진구 여의동 558-4,35.86442664,127.0806498,요양병원(일반요양병원),요양병원(일반요양병원),23,37,210,4311.4,내과+외과+가정의학과+한방내과+침구과,2024-01-18
누가한방병원,2009-11-04,영업중,063-252-9111,전북특별자치도 전주시 덕진구 안덕원로 218 (인후동1가),전북특별자치도 전주시 덕진구 인후동1가 594-14,35.83593359,127.1509241,한방병원,한방병원,3,18,84,1476.7,마취통증의학과+한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2024-01-18
다사랑병원,2005-03-16,영업중,063-228-5540,전북특별자치도 전주시 완산구 백제대로 74 (삼천동1가),전북특별자치도 전주시 완산구 삼천동1가 732-3,35.80087761,127.1278535,병원,병원,9,32,94,2379.94,내과+외과+정형외과+소아청소년과+응급의학과,2024-01-18
대자인병원,2012-05-01,영업중,063-240-2000,전북특별자치도 전주시 덕진구 견훤로 390 (우아동3가),전북특별자치도 전주시 덕진구 우아동3가 734-17,35.84599102,127.1533161,종합병원,종합병원,177,159,568,20505.6,내과+신경과+정신건강의학과+외과+정형외과+신경외과+흉부외과+마취통증의학과+산부인과+소아청소년과+안과+피부과+비뇨의학과+영상의학과+병리과+진단검사의학과+재활의학과+가정의학과+핵의학과+직업환경의학과+응급의학과+한방내과+한방부인과+한방신경정신과+한방재활의학과+사상체질과+침구과+구강악안면외과+치과보철과+치과교정과+소아치과+치주과+치과보존과+구강내과,2024-01-18
더세움병원,2022-02-25,영업중,063-243-9100,전북특별자치도 전주시 덕진구 서가재미2길 7 (인후동1가),전북특별자치도 전주시 덕진구 인후동1가 822-4,35.83212542,127.159232,병원,병원,13,33,127,844.9,내과+재활의학과+한방내과+한방재활의학과+사상체질과+침구과,2024-01-18
더숲요양병원,2016-06-02,영업중,063-230-2000,전북특별자치도 전주시 완산구 흑석2길 22 (서서학동),전북특별자치도 전주시 완산구 서서학동 1002-3,35.79599558,127.1500603,요양병원(일반요양병원),요양병원(일반요양병원),14,68,289,6930.96,내과+신경과+외과+정형외과+신경외과+이비인후과+피부과+비뇨의학과+재활의학과+가정의학과+한방내과,2024-01-18
덕진한방병원,2014-09-26,영업중,063-225-1075,전북특별자치도 전주시 덕진구 솔내로 131 (송천동1가),전북특별자치도 전주시 덕진구 송천동1가 116,35.86169453,127.1263258,한방병원,한방병원,5,18,61,1419.17,가정의학과+한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2024-01-18
동의한방병원,2015-06-23,영업중,063-274-8575,"전북특별자치도 전주시 완산구 백제대로 277, 4,5층 (중화산동2가)",전북특별자치도 전주시 완산구 중화산동2가 595-9,35.81807295,127.1225007,한방병원,한방병원,4,15,49,1289.56,가정의학과+한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2024-01-18
드림솔병원,2010-08-26,영업중,063-250-8000,전북특별자치도 전주시 완산구 천잠로 507 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 978-9,35.82979423,127.0946211,병원,병원,29,34,178,5042.67,내과+신경과+정형외과+재활의학과+침구과,2024-01-18
미르치과병원,2007-01-05,영업중,063-224-7700,전북특별자치도 전주시 완산구 백제대로 218 (중화산동2가),전북특별자치도 전주시 완산구 중화산동2가 142-11,35.81237954,127.123614,치과병원,치과병원,4,0,0,1149.16,구강악안면외과+치과보철과+치과교정과+통합치의학과,2024-01-18
미르피아 여성병원,2013-04-29,영업중,063-211-1004,전북특별자치도 전주시 완산구 쑥고개로 343 (효자동2가),전북특별자치도 전주시 완산구 효자동2가 1326-2,35.80328674,127.1027052,병원,병원,14,44,56,3374.43,내과+산부인과+소아청소년과+이비인후과+피부과+비뇨의학과+가정의학과,2024-01-18
박종혁믿음병원,2018-05-28,영업중,063-224-5100,전북특별자치도 전주시 완산구 홍산로 250 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1531-4,35.81601446,127.1064527,병원,병원,14,27,75,3794.82,내과+정형외과+마취통증의학과+영상의학과,2024-01-18
벧엘요양병원,2007-10-25,영업중,063-255-5321,전북특별자치도 전주시 덕진구 조경단로 77 (금암동),전북특별자치도 전주시 덕진구 금암동 1554-2,35.8412559,127.1386346,요양병원(일반요양병원),요양병원(일반요양병원),10,41,191,1428.4,내과+외과+정형외과+신경외과+피부과+가정의학과+한방내과,2024-01-18
본병원,2002-06-01,영업중,063-220-0300,전북특별자치도 전주시 완산구 유연로 276 (중화산동2가),전북특별자치도 전주시 완산구 중화산동2가 743-8,35.82516592,127.115528,병원,병원,17,45,124,4766.8,내과+신경과+외과+정형외과+신경외과+마취통증의학과+소아청소년과+영상의학과+가정의학과,2024-01-18
사랑요양병원,2011-01-13,영업중,063-282-1600,"전북특별자치도 전주시 완산구 덕적골1길 69, 전주사랑병원 (평화동1가)",전북특별자치도 전주시 완산구 평화동1가 493,35.79189899,127.1413491,요양병원(일반요양병원),요양병원(일반요양병원),22,34,207,3402.9,정형외과+신경외과+흉부외과+가정의학과+한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2024-01-18
삼남재활의학과병원,2009-06-10,영업중,063-222-8080,전북특별자치도 전주시 완산구 영경3길 6 (중화산동2가),전북특별자치도 전주시 완산구 중화산동2가 225-1,35.81702091,127.1253004,병원,병원,8,21,121,3048.25,내과+재활의학과,2024-01-18
