시점,실업률 (%),시장금리,소비자물가지수
2002.01,4.1,4.79,66.308
2002.02,4.1,4.54,66.624
2002.03,3.8,4.64,67.003
2002.04,3.4,4.79,67.382
2002.05,3.1,4.81,67.634
2002.06,2.9,4.85,67.571
2002.07,3,4.91,67.382
2002.08,3.2,4.8,67.824
2002.09,2.7,4.81,68.204
2002.1,2.8,4.91,68.013
2002.11,2.9,4.91,68.077
2002.12,3.1,4.9,68.391
2003.01,3.7,4.7,68.835
2003.02,3.8,4.54,69.213
2003.03,3.7,4.76,70.034
2003.04,3.5,4.62,69.908
2003.05,3.4,4.39,69.782
2003.06,3.4,4.28,69.592
2003.07,3.6,4.15,69.53
2003.08,3.5,3.9,69.845
2003.09,3.3,3.83,70.477
2003.1,3.4,3.93,70.539
2003.11,3.5,4.23,70.413
2003.12,3.8,4.34,70.73
2004.01,4,4.26,71.172
2004.02,4.1,4.08,71.487
2004.03,4,3.93,72.181
2004.04,3.7,3.91,72.181
2004.05,3.5,3.9,72.119
2004.06,3.4,3.91,72.119
2004.07,3.6,3.91,72.561
2004.08,3.6,3.7,73.191
2004.09,3.3,3.52,73.191
2004.1,3.4,3.52,73.191
2004.11,3.5,3.42,72.75
2004.12,3.8,3.39,72.877
2005.01,4.3,3.47,73.594
2005.02,4.3,3.59,73.892
2005.03,4.1,3.55,74.338
2005.04,3.8,3.52,74.413
2005.05,3.6,3.51,74.338
2005.06,3.6,3.51,74.114
2005.07,3.7,3.51,74.413
2005.08,3.6,3.5,74.636
2005.09,3.6,3.7,75.008
2005.1,3.6,3.93,74.859
2005.11,3.3,3.96,74.561
2005.12,3.5,4.04,74.785
2006.01,3.8,4.15,75.231
2006.02,4.1,4.25,75.381
2006.03,3.9,4.27,75.827
2006.04,3.5,4.33,75.902
2006.05,3.2,4.36,76.05
2006.06,3.4,4.47,75.902
2006.07,3.4,4.63,76.199
2006.08,3.4,4.68,76.645
2006.09,3.2,4.64,76.868
2006.1,3.3,4.57,76.496
2006.11,3.2,4.6,76.125
2006.12,3.3,4.76,76.348
2007.01,3.6,4.92,76.496
2007.02,3.7,4.95,77.017
2007.03,3.5,4.94,77.464
2007.04,3.4,4.95,77.761
2007.05,3.2,5.04,77.836
2007.06,3.2,5.03,77.836
2007.07,3.3,5.05,78.134
2007.08,3.1,5.21,78.208
2007.09,3,5.34,78.655
2007.1,3,5.34,78.803
2007.11,3,5.43,78.803
2007.12,3.1,5.73,79.101
2008.01,3.3,5.81,79.472
2008.02,3.5,5.28,79.771
2008.03,3.4,5.25,80.515
2008.04,3.2,5.38,80.962
2008.05,3.1,5.36,81.63
2008.06,3.1,5.36,82.151
2008.07,3.1,5.52,82.747
2008.08,3.1,5.77,82.598
2008.09,3,5.79,82.673
2008.1,3,6.03,82.598
2008.11,3,5.62,82.375
2008.12,3.3,4.68,82.375
2009.01,3.6,3.22,82.45
2009.02,3.9,2.7,83.045
2009.03,4,2.45,83.64
2009.04,3.8,2.42,83.862
2009.05,3.8,2.41,83.862
2009.06,3.8,2.41,83.788
2009.07,3.7,2.41,84.086
2009.08,3.7,2.48,84.384
2009.09,3.3,2.64,84.459
2009.1,3.2,2.79,84.235
2009.11,3.3,2.79,84.384
2009.12,3.5,2.82,84.682
2010.01,5,2.88,85.351
2010.02,4.8,2.88,85.523
2010.03,4.1,2.83,85.696
2010.04,3.7,2.51,86.041
2010.05,3.2,2.45,86.128
2010.06,3.5,2.45,86.041
2010.07,3.7,2.58,86.214
2010.08,3.3,2.63,86.647
2010.09,3.4,2.66,87.337
2010.1,3.3,2.66,87.337
